Modelo,Estrategia,N,bmi_ok_abs,bmi_ok_abs_pct,error_A_knowledge,error_A_knowledge_pct,error_B_extraction,error_B_extraction_pct,error_C_arithmetic,error_C_arithmetic_pct,h_ok,h_ok_pct,predijo_bien_all,predijo_bien_all_pct,predijo_bien_bmi,predijo_bien_bmi_pct,primary_A_knowledge,primary_A_knowledge_pct,primary_B_extraction,primary_B_extraction_pct,primary_ok,primary_ok_pct,w_ok,w_ok_pct
CodeLlama-7b-Instruct-hf,v1_simple,,0.0,0.0%,100.0,100.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,100.0,100.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%
CodeLlama-7b-Instruct-hf,v2_estricto,,0.0,0.0%,100.0,100.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,100.0,100.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%
CodeLlama-7b-Instruct-hf,v3_fewshot,,0.0,0.0%,100.0,100.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,100.0,100.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%
CodeLlama-7b-Instruct-hf,v4_encadenado,,0.0,0.0%,100.0,100.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,100.0,100.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%
DialoGPT-large,v1_simple,,0.0,0.0%,100.0,100.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,100.0,100.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%
DialoGPT-large,v2_estricto,,0.0,0.0%,100.0,100.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,100.0,100.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%
DialoGPT-large,v3_fewshot,,0.0,0.0%,100.0,100.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,100.0,100.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%
DialoGPT-large,v4_encadenado,,0.0,0.0%,100.0,100.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,100.0,100.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%
Phi-3-mini-4k-instruct,v2_estricto,,95.0,95.0%,0.0,0.0%,5.0,5.0%,0.0,0.0%,100.0,100.0%,95.0,95.0%,95.0,95.0%,0.0,0.0%,5.0,5.0%,95.0,95.0%,95.0,95.0%
Phi-3-mini-4k-instruct,v1_simple,,90.0,90.0%,5.0,5.0%,5.0,5.0%,0.0,0.0%,95.0,95.0%,90.0,90.0%,90.0,90.0%,5.0,5.0%,5.0,5.0%,90.0,90.0%,95.0,95.0%
Phi-3-mini-4k-instruct,v3_fewshot,,90.0,90.0%,5.0,5.0%,5.0,5.0%,0.0,0.0%,95.0,95.0%,90.0,90.0%,90.0,90.0%,5.0,5.0%,5.0,5.0%,90.0,90.0%,95.0,95.0%
Phi-3-mini-4k-instruct,v4_encadenado,,40.0,40.0%,0.0,0.0%,5.0,5.0%,55.00000000000001,55.0%,100.0,100.0%,40.0,40.0%,40.0,40.0%,0.0,0.0%,5.0,5.0%,40.0,40.0%,95.0,95.0%
Qwen2.5-0.5B-Instruct,v2_estricto,,10.0,10.0%,95.0,95.0%,15.0,15.0%,0.0,0.0%,5.0,5.0%,5.0,5.0%,10.0,10.0%,95.0,95.0%,0.0,0.0%,5.0,5.0%,60.0,60.0%
Qwen2.5-0.5B-Instruct,v1_simple,,10.0,10.0%,100.0,100.0%,5.0,5.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,10.0,10.0%,100.0,100.0%,0.0,0.0%,0.0,0.0%,25.0,25.0%
Qwen2.5-0.5B-Instruct,v3_fewshot,,10.0,10.0%,100.0,100.0%,5.0,5.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,10.0,10.0%,100.0,100.0%,0.0,0.0%,0.0,0.0%,30.0,30.0%
Qwen2.5-0.5B-Instruct,v4_encadenado,,0.0,0.0%,85.0,85.0%,15.0,15.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,85.0,85.0%,15.0,15.0%,0.0,0.0%,35.0,35.0%
stablelm-zephyr-3b,v2_estricto,,40.0,40.0%,10.0,10.0%,45.0,45.0%,5.0,5.0%,60.0,60.0%,40.0,40.0%,40.0,40.0%,10.0,10.0%,45.0,45.0%,40.0,40.0%,60.0,60.0%
stablelm-zephyr-3b,v3_fewshot,,30.0,30.0%,65.0,65.0%,20.0,20.0%,0.0,0.0%,30.0,30.0%,20.0,20.0%,30.0,30.0%,65.0,65.0%,15.0,15.0%,20.0,20.0%,70.0,70.0%
stablelm-zephyr-3b,v1_simple,,30.0,30.0%,60.0,60.0%,20.0,20.0%,5.0,5.0%,30.0,30.0%,20.0,20.0%,30.0,30.0%,60.0,60.0%,15.0,15.0%,20.0,20.0%,70.0,70.0%
stablelm-zephyr-3b,v4_encadenado,,5.0,5.0%,70.0,70.0%,60.0,60.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,5.0,5.0%,70.0,70.0%,30.0,30.0%,0.0,0.0%,45.0,45.0%
